,Abrangência/ Cobertura,Assunto/ palavras-chave,Autor,Data,Descrição,Fonte,Identifier,Título
194,Não identificado,Objetos Pessoais > Peça de Indumentária||12 Objetos Pessoais > 12.8 Peça de Indumentária||Acervo Museológico,"Nincet, Labor Omnia",1983||Não identificada,"Aba ovalada com viras laterais cobertas com gorgorão de seda. Copa com parte externa circulada com fibra de gorgorão arrematada com laço. Parte interna, copa forrada com seda. Cor preta.",Família do Sr. Raul Coutinho,12.8.01||83.025/030.160,Chapéu||Chapéu
195,Brasil > Goiás,Interiores > Peça de Mobiliário||05 Interiores > 05.5 Peça de Mobiliário||Mobiliário,Joaquim Angola,1953||Século XIX > 1816,"Cômoda papeleira, de linhas retas, em madeira de 02 tons. Gavetas claras de fundo escuro e 02 painéis de tampo inclinado, escuros de fundo claro, com embutidos em filetes e ornamentados florais na cor contrastante. Corpo superior arrematado por cornijas de perfil acentuado e constituído por papeleira com escaninhos verticais e 03 gavetas intercaladas por motivos florais. Cômoda com 02 gavetas superiores e 02 gavetões com puxadores em metal e marca de espelho primitivo nas fechaduras. Ornamentação na frente e elaborada nas faces laterais. Pés retos em pirâmides truncadas invertidas, ligeiramente contraventadas.",Argemiro Pompílio de Amorim,05.05.47||83.024/030.159,Cômoda||Cômoda Papeleira (escrivaninha)
196,Brasil > Goiás,Interiores > Peça de Mobiliário||05 Interiores > 05.5 Peça de Mobiliário||Mobiliário||Religioso,Não identificado,1959 ou 1960||Século XVIII,"Cadeira de jacarandá, Espaldar retangular com recorte na parte inferior e curvas na parte superior decorada com volutas, moldura em madeira, encosto e assento em couro. Assento trapezoidal. Braços em volutas. Pernas, as traseiras torneadas e as dianteiras em curva terminando com pés de sapata, sustentadas por 04 traves torneadas. Na parte frontal do assento, entalhe com motivos fitomórficos, tendo ao centro medalhão. Nas laterais entalhes com volutas. Entalhes com vestígios de pintura a ouro.",Arcebispo da Arquidiocese de Goiás,05.05.46||83.023/030.158,Trono||Trono Episcopal
197,Não identificado,Interiores > Peça de Mobiliário||05 Interiores > 05.5 Peça de Mobiliário||Mobiliário,Não identificado,Déc. 1950||Século XVIII,"Arca retangular, com ferragens em dobradiças saindo da parte de trás até o centro da tampa, nas laterais ferragens com alça com argola, na frente fechadura com tramela com 03 chaves com dobradiças seguindo até a tampa. Madeira encaixe.",Não identificada,05.05.45||83.022/030.157,Arca||Arca
198,Não identificado,Interiores > Peça de Mobiliário||05 Interiores > 05.5 Peça de Mobiliário||Mobiliário,Não identificado,1954||Século XVIII,"Arqueta simples com ferragem antiga completa. Forma retangular, na frente 03 fechaduras diferentes c/ tramela e 03 chaves, c/ dobradiças seguindo até a tampa. Madeira encaixe.",Coletoria Estadual de Goyaz,05.05.44||83.021/030.156,Arca||Arca
199,Não identificado,Objetos Cerimoniais > Objeto de Culto||09 Objetos Cerimoniais > 09.3 Objeto de Culto||Acervo Museológico||Religioso,Não identificado,Déc. 1950||Século XVIII,"Porta-Missal articulado, de mesa. Sustentado por 04 pés verticais avançados p/ fora, tendo entre os pés de cada lado uma ponta recortada. Sua superfície é de dois lados com as bordas recortadas.",Igreja de Nossa Senhora do Pilar de Ouro Fino,09.03.03||83.020/030.155,Porta Missal||Porta Missal
200,Brasil > Goiás,Interiores > Peça de Mobiliário||05 Interiores > 05.5 Peça de Mobiliário||Mobiliário,Não identificado,18/10/1962||Século XIX,"Encosto c/ trave superior inteiriça, sustentado por 02 traves verticais formando pés traseiros em curva de onde sai encaixe, braços formando volutas, em variante de pescoço de cisne; no centro 03 traves verticais e 01 horizontal fazendo divisão p/ 04 lugares, assento c/ moldura reta c/ palhinha no centro. Pés dianteiros em ligeira cambota e travejamento lateral simples. No centro trave curva.",Diva Gonzaga,05.05.43||83.019/030.154,Sofá||Sofá
201,Brasil > Goiás,Objetos Cerimoniais > Objeto de Culto||09 Objetos Cerimoniais > 09.3 Objeto de Culto||Acervo Museológico||Religioso,Não identificado,1983||Século XVIII,"Cruz pintada de verde e laranja, na parte inferior torneado em bolacha. Ponteiros torneados.",Igreja de Nossa Senhora do Pilar de Ouro Fino,09.03.02||83.018/030.153,Cruz||Cruz processional
202,Não identificado,Interiores > Peça de Mobiliário||05 Interiores > 05.5 Peça de Mobiliário||Mobiliário,Não identificado,Déc. 1950||Século XIX,"Cabeceira em 02 sessões, a superior c/ 11 colunas torneadas, a inferior c/ 03 painéis lisos e barra recortada. Laterais em 02 sessões, a superior c/ 15 colunas torneadas, formando grade presas por trinco e fixadas por dobradiças, na parte inferior c/ trave lisa e base recortada. 04 pés retangulares c/ terminações trilobuladas do piso ao alto da cabeceira. Estrado c/ 03 tábuas sustentadas pelas cabeceiras e uma travessa.",Maria Carlota Guedes,05.05.42||83.017/030.152,Cama||Cama
203,Brasil > Goiás,Interiores > Peça de Mobiliário||05 Interiores > 05.5 Peça de Mobiliário||Mobiliário,Não identificado,1983||Não identificada,"Em madeira tosca, tampo com 02 tábuas de encaixe, sustentado por 02 travessões verticais paralelos. 04 pernas retas sustentadas por 02 traves paralelas aos travessões.",Não identificada,05.05.40||83.015/030.150,Mesa||Mesa cavalete
204,Brasil > Goiás,Interiores > Peça de Mobiliário||05 Interiores > 05.5 Peça de Mobiliário||Mobiliário,Não identificado,1983||Século XIX,Tampo retangular com uma gaveta central. Pés torneados. Um puxador central em madeira.,Maria Dora da Luz,05.05.39||83.014/030.149,Mesa||Mesa
205,Não identificado,Interiores > Peça de Mobiliário||05 Interiores > 05.5 Peça de Mobiliário||Mobiliário,Não identificado,1983||Não identificada,Pés em cavalete com 04 traves. Tampo ovalado em o3 seções.,Não identificada,05.05.38||83.013/030.148,Mesa||Mesa
206,Alemanha,Interiores > Acessório de Interiores||05 Interiores > 05.1 Acessório de Interiores||Acervo Museológico,"Franzant, Memlem",15/01/1957||Século XIX,"Escarradeira de louça alemã, formato redondo. No bojo 03 carrancas em formato de cabeça de leão com boca aberta, cor de rosa, entre elas pintura de ramos verdes de flores rosa. 03 pés em forma de pata de leão, na parte superior friso rosa enfumaçado, pintura de ramo verde com 04 flores, amarela, branca e 02 rosas.",Não identificada,05.01.03||83.012/030.147,Escarradeira||Escarradeira
207,Brasil > Goiás,Interiores > Utensílio Cozinha/Mesa||05 Interiores > 05.6 Utensílio de Cozinha/Mesa||Acervo Museológico||Etnográfico,Não identificado,1983||Não identificada,"Cerâmica indígena, forma arredondada co desenhos listrados de cores vermelha e preto.",Regina Lacerda,05.06.11||83.011/030.146,Panela||Panela
208,Brasil > Goiás,Interiores > Acessório de Interiores||05 Interiores > 05.1 Acessório de Interiores||Acervo Museológico||Etnográfico,Indígena,1983||Não identificada,Vaso com decoração geométrica vermelha.,Não identificada,05.01.02||83.010/030.145,Vaso||Vaso
209,Brasil > Goiás,15 Embalagens/Recipientes||Acervo Museológico||Etnográfico,Índios Carajás,29/09/1966||Século XX > 1960,Base retangular e bojo redondo. Trançado fixado por bambu.,Não identificada,15.1||83.009/030.144,Cesto||Cesto indígena
210,Brasil > Goiás,08 Insígnias||Acervo Museológico,Não identificado,Déc. 1960||Século XIX,"Bandeira Imperial, tendo nos 04 cantos, escudos pretos com aplicação do nº 20 em amarelo. Armas Imperiais sobre fundo verde, orla azul com 19 estrelas de ouro representando as Províncias. No centro Cruz da ordem de Cristo e esfera arrelar assentadas sobre a cruz e ladeadas por ramos de café e fumo encimadas pela coroa Imperial.",Companhia Araguaia Militar,08.01||83.008/030.143,Bandeira||Bandeira do Batalhão 20
211,Brasil > Rio de Janeiro,Artes Visuais > Estampa (litografia)||02 Artes Visuais/Cinematográfica > 02.4 Estampa||Acervo Museológico||História do Brasil | Período Colonial,Lith. de Lopes,Déc. 1960||Século XIX,"Retrato de D. João VI, litografia, de pé, com corpo de ¾, cabeça de frente, mão esquerda sobre almofada com a coroa real e o cetro. Mão direita segurando bengala. Inscrição: “D. João VI – nasceu a 13 de maio de 1767. Tomou posse da Regência do reino em 15 de julho de 1799. Começou a reinar em março de 1816. Morreu em 10 de março de 1826: viveu 59 anos”.",A. Navarro da Costa.,02.04.02||83.007/030.142,Retrato||Retrato de D. João VI
212,Brasil > Rio de Janeiro,Artes Visuais > Estampa (gravura a buril)||02 Artes Visuais/Cinematográfica > 02.4 Estampa||Acervo Museológico||História do Brasil | Período Colonial,F. Bartolozzi,Déc. 1960||Século XIX,"Retrato de D. João VI, gravura a buril, no centro medalhão com retrato ¾, abaixo armas de Portugal, sustentadas por 02 anjos sobre nuvem. Inscrição: Dom João Príncipe do Brasil Regente de Portugal.",A. Navarro da Costa.,02.04.01||83.006/030.141,Retrato||Retrato de D. João VI
213,Não identificado,Comunicação > Equipamento de Telecomunicação||10 Comunicação > 10.4 Equipamento de Telecomunicação||Acervo Museológico||Ciência | Tecnologia,Não identificado,1983||Século XX,"Base retangular, caixa a parte superior quinelada, na frente com saliência redonda contendo no centro um retângulo moldurado de metal p/ colocação do nº do aparelho. Na extremidade da caixa suporte p/ o fone. No centro, um pino p/ repouso do aparelho. Da parte externa de um dos lados do fone, saída p/ um fio que é ligado no lado esquerdo da caixa, e do lado direito da caixa outra saída p/ um fio que liga o aparelho.",Telegoiás,10.4.05||83.005/030.140,Telefone||Telefone
214,Alemanha,Comunicação > Equipamento de Telecomunicação||10 Comunicação > 10.4 Equipamento de Telecomunicação||Acervo Museológico||Ciência | Tecnologia,KAPSCH,1983||Século XX,"Base retangular, caixa com manivela a esquerda, detrás da caixa saem 02 fios, um p/ o fone, outro p/ a tomada, caixa com 03 parafusos salientes. À frente o nº do telefone, “11”. Em cima da caixa o gancho que serve de suporte p/ o fone.",Telegoiás,10.4.04||83.004/030.139,Telefone||Telefone
215,Estados Unidos da América,Comunicação > Equipamento de Telecomunicação||10 Comunicação > 10.4 Equipamento de Telecomunicação||Acervo Museológico||Ciência | Tecnologia,Não identificado,1983||Século XX,"Base quadrangular com 10 lados recortados, da parte de trás saem 02 fios que seguem um p/ o fone e outro p/ a tomada, caixa com disco de metal na frente, que servia p/ discar números, gancho p/ colocar fone. Tomada quadrangular. Nas laterais 02 grades retangulares.",Telegoiás,10.4.03||83.003/030.138,Telefone||Telefone
216,Japão,Comunicação > Equipamento de Telecomunicação||10 Comunicação > 10.4 Equipamento de Telecomunicação||Acervo Museológico||Ciência | Tecnologia,Não identificado,1983||Século XX,"Caixa retangular com as laterais em curva. Na superfície um suporte com 03 faces, tendo na face central um pino p/ repouso do fone. Na frente uma cavidade p/ repouso do outro lado do fone. Na parte posterior 02 saídas, uma p/ o fone e outra p/ a tomada redonda. Na parte superior da caixa um círculo emoldurado de metal com o nº 165.",Telegoiás,10.4.02||83.002/030.137,Telefone||Telefone de mesa (magnético)
217,Não identificado,Comunicação > Equipamento de Telecomunicação||10 Comunicação > 10.4 Equipamento de Telecomunicação||Acervo Museológico||Ciência | Tecnologia,Não identificado,1983||Século XX,"Base quadrangular com cantos arredondados com frisos em voltas. Na parte superior 04 pontas em forma de mãos que servia para colocar o gancho. Na parte posterior 02 fios, um para o gancho, outro para a campainha. Tomada redonda.",Telegoiás,10.4.01||83.001/030.136,Telefone||Telefone de extensão
218,Não identificado,Transporte > Acessório de Transporte Terrestre||11 Transporte > 11.3 Acessório de Transporte Terrestre||Acervo Museológico,Não identificado,1983||Século XIX,"Tiras de metal, partidas em 04 pedaços, compostas de retângulos, com incisos entremeados com entalhes em flores.",Não identificada,11.3.01||82.002/030.135,Peça de Arreio||Cabeçalho
219,Brasil > Goiás,Interiores > Peça de Mobiliário||05 Interiores > 05.5 Peça de Mobiliário||Mobiliário,Não identificado,1981||Século XIX,"Cabeceira com coroamento, colunas laterais terminadas com 02 castiçais. Parte central da cabeceira com 06 colunas torneadas. Pé da cama alto com 06 colunas torneadas na parte central, 02 colunas laterais torneadas finalizando com 02 pinos. Pés torneados.",Pró Memória,05.05.36||81.001/030.133,Cama||Cama de casal
220,Brasil > Goiás > Nazário > Fazenda Ruibarbo,Objetos Cerimoniais > Objeto Funerário||09 Objetos Cerimoniais > 09.4 Objeto Funerário||Acervo Museológico||Etnográfico,Não identificado,24/07/1961||Século XIX,Forma cônica com manchas escuras do cozimento. Base arredondada. Abertura na parte superior (parte mais larga).,Manoel Fernandes Teixeira,09.04.01||76.001/030.132,Urna funerária indígena||Igaçaba
221,Não identificado,Trabalho > Equipamento de Atividades Comerciais||06 Trabalho > 06.4 Equipamento de Atividades Comerciais||Acervo Museológico,Não identificado,1º/02/1973||Século XX,"Caixa de metal, na parte frontal superior visor com valores: contos, mil réis e réis: 000,000. A parte central com 07 fileiras, cada uma com 09 teclas representando valores. Na extremidade esquerda alavanca de madeira encimada por tecla “pagamento” e abaixo tecla “recebimento”. Na extremidade inferior direita tecla preta. Na parte frontal inferior, a marca “Anker” entre pequenos visores de plástico. Na lateral direita manivela de metal cromado e madeira. Na lateral esquerda pequena caixa com local para registro e fita. Na parte traseira marca encimada por uma âncora. Base de madeira.",Banco do Estado de Minas Gerais,06.04||74.001/030.131,Máquina Registradora||Máquina Registradora
222,Brasil > Goiás,Trabalho > Maquinaria||06 Trabalho > 06.11 Maquinaria||Acervo Museológico||Arquitetura,Não identificado,1969||Não identificada,Em forma de sino. Base com furos para parafusos. Na parte superior colarinho menor com 04 parafusos. Válvula de pressão.,Frei Simão Dorvi,06.11||69.001/030.130,Tampa da Caldeira||Tampa da Caldeira
223,Brasil > Goiás,Construção > Equipamento Hidráulico||04 Construção > 04.3 Equipamento Hidráulico||Acervo Museológico||Arquitetura,Não identificado,03/08/1967||Século XIX > 1839,"Lavabo em pedra sabão, forma recortada com 02 volutas laterais, a da esquerda faltando a parte inferior, tendo um querubim ao centro, com uma torneira saindo da sua boca.",Prefeitura Municipal de Goiás,04.03.05||67.002/030.129,Lavabo||Lavabo da Sacristia
224,Brasil > Goiás,Construção > Equipamento Hidráulico||04 Construção > 04.3 Equipamento Hidráulico||Acervo Museológico||Arquitetura,Não identificado,1967||Não identificada,Blocos retangulares com perfurações circulares e encaixes no sistema de macho e fêmea.,Prefeitura Municipal de Goiás,04.03.01||67.001/030.125,Cano||Cano de pedra sabão
225,Brasil > Goiás,Construção > Equipamento Hidráulico||04 Construção > 04.3 Equipamento Hidráulico||Acervo Museológico||Arquitetura,Não identificado,1967||Não identificada,Blocos retangulares com perfurações circulares e encaixes no sistema de macho e fêmea.,Prefeitura Municipal de Goiás,04.03.04||67.001.III/030.128,Cano||Cano de pedra sabão
226,Brasil > Goiás,Construção > Equipamento Hidráulico||04 Construção > 04.3 Equipamento Hidráulico||Acervo Museológico||Arquitetura,Não identificado,1967||Não identificada,Blocos retangulares com perfurações circulares e encaixes no sistema de macho e fêmea.,Prefeitura Municipal de Goiás,04.03.03||67.001.II/030.127,Cano||Cano de pedra sabão
227,Brasil > Goiás,Construção > Equipamento Hidráulico||04 Construção > 04.3 Equipamento Hidráulico||Acervo Museológico||Arquitetura,Não identificado,1967||Século XIX,Blocos retangulares com perfurações circulares e encaixes no sistema de macho e fêmea.,Prefeitura Municipal de Goiás,04.03.02||67.001.I/030.126,Cano||Cano de pedra sabão
228,Brasil > Goiás,Trabalho > Equipamento de Mineração||06 Trabalho > 06.6 Equipamento de Mineração||Acervo Museológico||Mineração,Não identificado,1965||Século XIX,"Formato côncavo e arredondado, com furo na borda para alça.",Não identificada,06.06.01||65.002/030.124,Bateia||Bateia
229,Brasil > Goiás,Interiores > Peça de Mobiliário||05 Interiores > 05.5 Peça de Mobiliário||Mobiliário,Não identificado,1965||Século XIX,"Encosto com trave na horizontal, sustentada por 02 colunas na vertical que se prolongam torneando os pés traseiros, no centro 03 traves verticais divididas por trave curva horizontal formando 04 lugares. Braços retos com peonena caída, assento com moldura de madeira com palhinha ao centro. No fundo 02 traves retas de sustentação. Pés dianteiros curvos.",Não identificada,05.05.35||65.001/030.123,Banco||Banco Canapé
230,Brasil > Goiás,Interiores > Peça de Mobiliário||05 Interiores > 05.5 Peça de Mobiliário||Mobiliário,Não identificado,24/10/1964||Não identificada,"Retangular. Caixa com 02 gavetas com fechaduras de bronze em forma de coração, ladeado e encimado por volutas. Saia triangular entalhada com volutas, no centro medalhão terminado em vieira. Laterais com entalhe de volutas. Pernas curvas, pés arredondados.",Museu da Inconfidência de Ouro Preto,05.05.34||64.003/030.122,Mesa||Mesa de Encostar
231,Brasil > Goiás,Interiores > Peça de Mobiliário||05 Interiores > 05.5 Peça de Mobiliário||Mobiliário,Não identificado,24/10/1964||Século XVIII,"Tampo retangular com extremidades recortadas. Uma gaveta com fechadura com espelho em ferro. 04 pernas recurvas ornamentadas na extremidade superior de pequenas volutas, pés em cachimbo com travessões torneados. Móvel híbrido, estilo mineiro goiano.",Museu da Inconfidência de Ouro Preto,05.05.33||64.002/030.121,Mesa||Mesa de Encostar
232,Brasil > Goiás,Interiores > Peça de Mobiliário||05 Interiores > 05.5 Peça de Mobiliário||Mobiliário,Não identificado,24/10/1964||Século XVIII,"Tampo retangular em 03 tábuas com cantos arredondados. Caixa com almofadas nas laterais e no fundo, um gavetão com fechadura no centro. Pernas curvas, sustentadas por 04 traves torneadas. Pés encaixados em forma de pata.",Museu da Inconfidência de Ouro Preto,05.05.32||64.001/030.120,Mesa||Mesa de Encostar
233,Brasil > Goiás,Objetos Cerimoniais > Objeto Cerimonial de Instituições||09 Objetos Cerimoniais > 09.1 Objeto Cerimonial de Instituições||Acervo Museológico||Justiça,Não identificado,1963||Século XIX,"Duas hastes recortadas, unidas por traves torneadas, onde se encaixa roda fechada com portinhola. De um lado manivela para girar a caixa.",Octhugamys Baylão,09.01.01||63.001/030.119,Urna||Urna de Eleição
234,Índia,Interiores > Utensílio Cozinha/Mesa||05 Interiores > 05.6 Utensílio de Cozinha/Mesa||Acervo Museológico,Não identificado,1960||Século XIX,"Forma retangular, octogonal, com os ângulos abatidos, decoração em azul marinho. Na barra desenhos fitomorfos e no centro árvores (pinheiros).",Aida Botelho Ramos Jubé,05.06.10||60.007/030.118,Travessa||Travessa grande
235,Inglaterra,Interiores > Utensílio Cozinha/Mesa||05 Interiores > 05.6 Utensílio de Cozinha/Mesa||Acervo Museológico,Não identificado,1960||Século XIX,"Prato de louça com marca ilegível. Forma redonda com borda recortada. Centro branco com detalhe em vermelho. Do centro para a borda, faixas azuis e tremidos vermelhos sobre branco. Friso dourado na borda do prato.",Aida Botelho Ramos Jubé,05.06.09||60.006/030.117,Prato||Prato
236,Inglaterra,Interiores > Utensílio Cozinha/Mesa||05 Interiores > 05.6 Utensílio de Cozinha/Mesa||Acervo Museológico,Tnosmucnes & Son,1960||Século XIX,"Prato redondo, no centro desenhos chineses nas cores azul e branco com castelo a beira de um rio, sobre o qual há uma ponte com 03 pessoas pescando. A esquerda do castelo no rio, um barco, a direita uma árvore e no céu dois pássaros. Borda decorada com motivos fitomorfos e geométricos.",Aida Botelho Ramos Jubé,05.06.07||60.005/030.115,Prato||Prato fundo
237,Inglaterra,Interiores > Utensílio Cozinha/Mesa||05 Interiores > 05.6 Utensílio de Cozinha/Mesa||Acervo Museológico,Tnosmucnes & Son,1960||Século XIX,"Prato redondo, no centro desenhos chineses, azul e branco com castelo a beira de um rio, sobre o qual há uma ponte com o3 pessoas pescando. A direita uma árvore e no céu dois pássaros. Borda decorada com motivos fitomorfos e geométricos.",Aida Botelho Ramos Jubé,05.06.08||60.005.I/030.116,Prato||Prato raso
238,China,Interiores > Utensílio Cozinha/Mesa||05 Interiores > 05.6 Utensílio de Cozinha/Mesa||Acervo Museológico,Não identificado,1960||Século XIX,"Prato de louça chinesa, forma redonda, com decoração em motivos florais e guirlandas sobre fundo branco. Borda verde. No centro rosácea nas cores vermelho e roxo com miolo verde.",Aida Botelho Ramos Jubé,05.06.06||60.004/030.114,Prato||Prato
239,Índia,Interiores > Utensílio Cozinha/Mesa||05 Interiores > 05.6 Utensílio de Cozinha/Mesa||Acervo Museológico,Não identificado,1960||Século XIX,"Forma redonda recortada, com decoração de motivos florais de tons azul escuro em fundo branco.",Aida Botelho Ramos Jubé,05.06.05||60.003/030.113,Prato||Prato
240,Inglaterra,Interiores > Utensílio Cozinha/Mesa||05 Interiores > 05.6 Utensílio de Cozinha/Mesa||Acervo Museológico,J. Meir & Son,1953||Século XIX,"Forma de sopeira, parte superior do bojo retangular e afunilando para a base, sustentada por uma forma retangular menor. Sua parte interna traz desenhos no centro (vide ficha 60.002.II/030.111) e as laterais brancas. Com tampa também com desenhos e traz abertura para colher e pegador em pinha, Sua parte externa também traz os mesmos desenhos.",José de Castro Berquó,05.06.01||60.002/030.109,Terrina||Terrina
241,Inglaterra,Interiores > Utensílio Cozinha/Mesa||05 Interiores > 05.6 Utensílio de Cozinha/Mesa||Acervo Museológico,J. Meir & Son,1953||Século XIX,"Travessa ovalada, no centro desenhos chineses, azul e branco, com castelo a beira de um rio, sobre o qual há uma ponte com 03 pessoas pescando. A esquerda do castelo no rio há um barco, à direita uma árvore e no céu dois pássaros. Borda decorada com motivos fitomorfos e geométricos.",José de Castro Berquó,05.06.04||60.002.III/030.112,Travessa||Travessa rasa
242,Inglaterra,Interiores > Utensílio Cozinha/Mesa||05 Interiores > 05.6 Utensílio de Cozinha/Mesa||Acervo Museológico,J. Meir & Son,1953||Século XIX,"Travessa ovalada, tendo ao centro desenhos chineses nas cores azul e branco, com castelo a beira de um rio, sobre o qual há uma ponte com 03 pessoas pescando. A esquerda do castelo no rio, um barco, à direita uma árvore e no céu dois pássaros. Borda decorada com motivos fitomorfos e geométricos.",José de Castro Berquó,05.06.03||60.002.II/030.111,Travessa||Travessa rasa
243,Inglaterra,Interiores > Utensílio Cozinha/Mesa||05 Interiores > 05.6 Utensílio de Cozinha/Mesa||Acervo Museológico,J. Meir & Son,1953||Século XIX,"Forma mais ao menos quadrangular, trazendo desenhos chineses, com castelo a beira de um rio, sobre o qual há uma ponte com 03 pessoas pescando. A esquerda do castelo no rio, um barco, à direita uma árvore e no céu dois pássaros. Parte externa também com os mesmos desenhos.",José de Castro Berquó,05.06.02||60.002.I/030.110,Travessa||Travessa alta
244,Não identificado,Interiores > Objeto de Iluminação||05 Interiores > 05.4 Objeto de Iluminação||Acervo Museológico,Não identificado,1960||Século XIX,Manga de cristal em forma de vaso com aro de metal na base.,Aida Botelho Ramos Jubé,05.04.10||60.001/030.108,Acessório de Luminária||Manga (donzela)
245,Brasil > Goiás,Trabalho > Equipamento Agrícola||06 Trabalho > 06.1 Equipamento Agrícola||Acervo Museológico||Tecelagem,Não identificado,08/02/1955||Século XIX,"Banco de madeira, tendo ao centro dois rolos movidos por duas manivelas.",Yeda Sócrates,06.01.01||55.005/030.107,Descaroçador||Descaroçador de algodão
246,Brasil > Goiás,Trabalho > Equipamento de Fiação/Tecelagem||06 Trabalho > 06.5 Equipamento de Fiação/Tecelagem||Acervo Museológico||Tecelagem,Não identificado,08/02/1955||Século XIX,"Sobre um toco rústico, duas madeiras retas na vertical onde se encaixam roda e haste roliça para colocar a canilha.",Yeda Sócrates,06.05.03||55.004/030.106,Canilheiro||Canilheiro
247,Brasil > Goiás,Trabalho > Equipamento de Fiação/Tecelagem||06 Trabalho > 06.5 Equipamento de Fiação/Tecelagem||Acervo Museológico||Tecelagem,Não identificado,08/02/1955||Século XIX,"Cavalete de madeira com pedal, numa extremidade a roda e na outra extremidade engrenagens para fiar o algodão.",Yeda Sócrates,06.05.02||55.003/030.105,Roca||Roca
248,Brasil > Goiás,Trabalho > Equipamento de Fiação/Tecelagem||06 Trabalho > 06.5 Equipamento de Fiação/Tecelagem||Acervo Museológico||Tecelagem,Não identificado,08/02/1955||Século XIX,"Tear horizontal, sustentado por 04 traves roliças, com pente, dois pedais e pedaço de um pano de algodão tecido.",Yeda Sócrates,06.05.01||55.002/030.104,Tear||Tear
249,Não identificado,Interiores > Peça de Mobiliário||05 Interiores > 05.5 Peça de Mobiliário||Mobiliário,Não identificado,1955||Século XIX,"Berço-balanço em madeira, as bordas suavemente onduladas e de faces laterais quinadas no meio, dando à parte inferior a forma de masseira. Ferragens originais ligam-no ao suporte, também de madeira, constituído de 02 hastes que se apóiam sobre arco rebaixado, travados por 02 barras paralelas. Madeira (vinhático).",Não identificada,05.05.31||55.001/030.103,Berço||Berço embaladeira
250,Brasil > Goiás,Interiores > Peça de Mobiliário||05 Interiores > 05.5 Peça de Mobiliário||Mobiliário,Não identificado,1954||Século XIX,"Cadeira com assento de palhinha, espaldar ligeiramente recurvado com encosto em 02 tábuas, sendo a superior recortada no centro e nas extremidades. Pés da frente em ligeira cambota para frente, travejamento lateral simples e travejamento frontal roliço.",Diva Gonzaga,05.05.25||54.029/030.097,Cadeira||Cadeira
251,Brasil > Goiás,Interiores > Peça de Mobiliário||05 Interiores > 05.5 Peça de Mobiliário||Mobiliário,Não identificado,1954||Século XIX,"Cadeira com assento de palhinha, espaldar ligeiramente recurvado com encosto em 02 tábuas, sendo a superior recortada no centro e nas extremidades. Pés da frente em ligeira cambota para frente, travejamento lateral simples e travejamento frontal roliço.",Diva Gonzaga,05.05.30||54.029.V/030.102,Cadeira||Cadeira
252,Brasil > Goiás,Interiores > Peça de Mobiliário||05 Interiores > 05.5 Peça de Mobiliário||Mobiliário,Não identificado,1954||Século XIX,"Cadeira com assento de palhinha, espaldar ligeiramente recurvado com encosto em 02 tábuas, sendo a superior recortada no centro e nas extremidades. Pés da frente em ligeira cambota para frente, travejamento lateral simples e travejamento frontal roliço.",Diva Gonzaga,05.05.29||54.029.IV/030.101,Cadeira||Cadeira
253,Brasil > Goiás,Interiores > Peça de Mobiliário||05 Interiores > 05.5 Peça de Mobiliário||Mobiliário,Não identificado,1954||Século XIX,"Cadeira com assento de palhinha, espaldar ligeiramente recurvado com encosto em 02 tábuas, sendo a superior recortada no centro e nas extremidades. Pés da frente em ligeira cambota para frente, travejamento lateral simples e travejamento frontal roliço.",Diva Gonzaga,05.05.28||54.029.III/030.100,Cadeira||Cadeira
254,Brasil > Goiás,Interiores > Peça de Mobiliário||05 Interiores > 05.5 Peça de Mobiliário||Mobiliário,Não identificado,1954||Século XIX,"Cadeira com assento de palhinha, espaldar ligeiramente recurvado com encosto em 02 tábuas, sendo a superior recortada no centro e nas extremidades. Pés da frente em ligeira cambota, travejamento lateral simples e travejamento frontal roliço.",Diva Gonzaga,05.05.27||54.029.II/030.099,Cadeira||Cadeira
255,Brasil > Goiás,Interiores > Peça de Mobiliário||05 Interiores > 05.5 Peça de Mobiliário||Mobiliário,Não identificado,1954||Século XIX,"Cadeira com assento de palhinha, espaldar ligeiramente recurvado com encosto em 02 tábuas, sendo a superior recortada no centro e nas extremidades. Pés da frente em ligeira cambota para frente, travejamento lateral simples, e travejamento frontal roliço.",Diva Gonzaga,05.05.26||54.029.I/030.098,Cadeira||Cadeira
256,Brasil > Goiás,Interiores > Peça de Mobiliário||05 Interiores > 05.5 Peça de Mobiliário||Mobiliário,Não identificado,1954||Século XIX,"Cadeira com assento de palhinha, espaldar ligeiramente recurvado com encosto em 02 tábuas onduladas. Pés da frente em ligeira cambota para frente, travejamento lateral simples e travejamento frontal roliço.",Diva Gonzaga,05.05.21||54.028/030.093,Cadeira||Cadeira
257,Brasil > Goiás,Interiores > Peça de Mobiliário||05 Interiores > 05.5 Peça de Mobiliário||Mobiliário,Não identificado,1954||Século XIX,"Cadeira com assento de palhinha, espaldar ligeiramente recurvado com encosto em 02 tábuas onduladas. Pés da frente em ligeira cambota, travejamento lateral simples e travejamento frontal roliço.",Diva Gonzaga,05.05.24||54.028.III/030.096,Cadeira||Cadeira
