Assuntos;Catalogação Pré MARC;Descrição Física;Entradas Secundárias/Autor;Entradas Secundárias/Série;Notas;Número de chamada;Publicação;Série;Título Principal;Unidade_de_Informação;Endereço Eletrônico;Autor Principal;ISBN;Edição;Outros Títulos;ISSN;Nota de conteúdo;Número de Chamada;Título Uniforme/Original;Coleção;Notas de Resumo;Notas Locais;Acesso Eletrônico;Local e Editora da Publicação;Localização do Artigo;Título do Artigo;Autor do Artigo;Freqüência da Publicação;Título Anterior;Título Chave/Abreviado
Congressos  Museologia;;264  p.;;;Conferência realizadas no Museu Histórico Nacional de 23 a 27 de  outubro de l995;069  M986  IPHAN-PE;Rio de Janeiro : IPHAN/OEA, 1995.;;MUSEOGRAFIA : el lenguage de los museus al servicio de la sociedad  y su patrimônio cultural;IPHAN-PE(328);;;;;;;;;;;;;;;;;;;;
Museologia  Congressos;;238  p.;;;Conferências realizadas no Museu Histórico Nacional de 23 a 27 de outubro de 1995;069  M986  IPHAN-PE;Rio de Janeiro : IPHAN/OEA, 1997.;;MUSEOLOGIA : a linguagem dos museus a serviço da sociedade e de seupatrimônio cultural;IPHAN-PE(328);;;;;;;;;;;;;;;;;;;;
Iphan  Museu do estado de pernambuco  Museus  Museólogos  Arte  Museologia  Patrimônio histórico  Política cultural;;"388  p.; il.";;;;289/2003  IPHAN-PE;Rio de Janeiro : Iphan, 2002.;;De museologia, arte e política de patrimônio /;IPHAN-PE(328);;Costa, Lygia Martins;;;;;;;;;;;;;;;;;;
Vassouras  Museu casa da hora  Rio de janeiro;;46  p.;;;;708  M986  F  IPHAN-PE;Vassouras/ Rio de Janeiro : IPHAN 6ª Coordenação Regional, 19??.;;MUSEU casa da hora;IPHAN-PE(328);;;;;;;;;;;;;;;;;;;;
Museu das bandeiras  Goiás (Estado);;3  p.;;;;389  F  IPHAN-PE;Goias : Iphan, 1995.;;MUSEU das bandeiras;IPHAN-PE(328);;;;;;;;;;;;;;;;;;;;
Goiás (Estado)  Museu de arte sacra da boa morte;;4  p.;;;;386  F  IPHAN-PE;Goias : IPHAN 14ª CR, 1995.;;MUSEU de arte sacra da Boa Morte;IPHAN-PE(328);;;;;;;;;;;;;;;;;;;;
Porto seguro  Patrimônio histórico  Bahia  Museu;;28  p. : il;;;;413  F  IPHAN-PE;Bahia : Iphan, 2000.;;Museu de Porto Seguro;IPHAN-PE(328);;Brasil.ministério da Cultura;;;;;;;;;;;;;;;;;;
Modelismo naval  São Francisco do Sul (SC)  Instituto do patrimônio histórico e artístico nacional  Patrimônio cultural  Desenvolvimento sustentável  Preservação do patrimônio  Museu do mar  Educação patrimonial  Programa monumenta  Sc;;"76 p.;il";;;;338.927  P933 V.8  IPHAN-PE;Brasília : IPHAN/Monumenta, 2008.;;MUSEU do Mar : São Francisco do Sul -SC, 8;IPHAN-PE(328);;;;;;;;;;;;;;;;;;;;
Modelismo naval  São Francisco do Sul (SC)  Desenvolvimento sustentável  Sc  Programa monumenta  Museu do mar  Educação patrimonial  Instituto do patrimônio histórico e artístico nacional  Patrimônio cultural  Preservação do patrimônio;;"76 p.;il";;;;338.927  P933 V.8 ex.2  IPHAN-PE;Brasília : IPHAN/Monumenta, 2008.;;MUSEU do Mar : São Francisco do Sul -SC, 8;IPHAN-PE(328);;;;;;;;;;;;;;;;;;;;
Museus  Casas históricas  Minas gerais;;24  p. il.;;;;708.51  M986  F  IPHAN-PE;Belo Horizonte : IPHAN/ Ministerio da Cultura, 1995.;;MUSEUS e casas históricas : IPHAN 13ª CR/ Minas Gerais, São João   Del Rei, Sabara, Diamantina, Serro, Caeté, Santa Barbara e Mariana;IPHAN-PE(328);;;;;;;;;;;;;;;;;;;;
Patrimônio  Meio ambiente  Legislação  Preservação arqueológica  Legislação arqueológica  Arqueologia;;201 p.;Bastos, Rossano Lopes;;A biblioteca possui 2 exemplares;344.094  N851  IPHAN-PE;São Paulo : Iphan, 2005.;;Normas e gerenciamento do patrimônio arqueológico /;IPHAN-PE(328);;Teixeira, Adriana;;;;;;;;;;;;;;;;;;
Minas gerais  Pintura brasileira  Pintura religiosa;;431. p.il.;;;;755.98151  N393n  IPHAN-PE;Rio de Janeiro : Iphan, 1978.;;"Nova contribuição ao estudo da pintura mineira (norte de Minas);  pintura dos tetos de igrejas /";IPHAN-PE(328);;Negro, Carlos Del;;;;;;;;;;;;;;;;;;
João pessoa  Oficina  Escola;;4  p.;;;;372  F  IPHAN-PE;João Pessoa : Iphan, 1996.;;A OFICINA-Escola de João Pessoa;IPHAN-PE(328);;;;;;;;;;;;;;;;;;;;
Patrimônio imaterial  Alimento  Acarajé  Ofício  Cultura popular;;92 p.:il.+CD-ROM;;;;394.1  O329  IPHAN-PE;Brasília : Iphan, 2007.;;OFÍCIO das Baianas de Acarajé;IPHAN-PE(328);;;;;;;;;;;;;;;;;;;;
Dvd  Rom  Cd;;;;;;;[S.l.]  [s.n.];(6);OFÍCIO DAS BAIANAS DE ACARAJÉ : IPHAN - MINISTÉRIO DA CULTURA;IPHAN-PE(328);;;;;;;;237  IPHAN-PE;;;;;;;;;;;;
Artesanato  Paneleiras de goiabeiras  Trabalho artesanal  Patrimônio imaterial;;96 p.:il + CD-ROM;;;Inclui CD-ROM.;745.5  O329  IPHAN-PE;Brasília : Iphan, 2006.;;OFÍCIO das Paneleiras de Goiabeiras;IPHAN-PE(328);;;;;;;;;;;;;;;;;;;;
Rom  Dvd  Cd;;;;;;;[S.l.]  [s.n.];;OFÍCIO DAS PANELEIRAS DE GOIABEIRAS : IPHAN - MINISTÉRIO DA CULTURA;IPHAN-PE(328);;;;;;;;238  IPHAN-PE;;;;;;;;;;;;
Cidades históricas  Ouro preto, mg  Patrimônio cultural  História  Minas gerais;;72 p.:il.;;;;981.51  O939  IPHAN-PE;Brasília : Iphan, 2008.;;OURO Preto : Minas Gerais - Imagens;IPHAN-PE(328);;;;;;;;;;;;;;;;;;;;
Paisagem cultural  Patrimônio cultural  Paisagem;;152 p.;;;Biblioteca Básica;363.69  R484p  IPHAN-PE;Rio de Janeiro : Iphan/Copedoc, 2007.;;Paisagem Cultural e Patrimônio /;IPHAN-PE(328);http://chronuswebarq.iphan.gov.br/Arquivos/Capa_Titulo_147322.jpg;Ribeiro, Rafael Winter   1973-    Detalhes;;;;;;;;;;;;;;;;;;
Proteção  Instituto do patrimônio histórico e artístico nacional (brasil)  Patrimônio cultural;;"142 p. : il ; 28cm";Motta, Lia  org.;Caderno de Estudos do PEP;;363.690981  CDP (Rio de Janeiro)  363.690981  P195  IPHAN-PE  363.690981  P195  IPHAN-SC  363.69  CDP (Brasília)  C122  363.69  IPHAN-PA  P195;Rio de Janeiro : Iphan, 2015.;"(Caderno de Estudos do PEP ; 9)";Um panorama do campo da preservação do patrimônio cultural;IPHAN-PE(328);Imagem;;ISBN 9788573342826 (broch.);;;;Conteúdo incompleto : Capítulo - Campo cultural e contexto histórico: nomes do IPHAN / Analucia Thompson p.9-86;;;;;;;;;;;;;
Bens culturais  Educação patrimonial  Preservação  Brasil;;50  p. il.;;;;720  V335p  F  IPHAN-PE;Brasilia : Iphan, 1994.;;Para preservar /;IPHAN-PE(328);;Vasques, Claúdia Marina;;;;;;;;;;;;;;;;;;
Levantamento. recife, iphan  1ª, 1959;;;;;Original PR Nº 2. Dimensões 0,52x0,42. Escala: 1:20.000;;[S.l.]  [s.n.];;PARQUE HISTÓRICO NACIONAL DOS GUARARAPES;IPHAN-PE(328);;;;;;;;34.05(3)  IPHAN-PE;;;;;;;;;;;;
1ª, 1976  Projeto de construção de um monumento no parque nacional dos guararapes. planta baixa. projeto: arquiteto geraldo gomes. recife, iphan;;;;;Original nº 1 PNG. Dimensões: 1,00x0,70. Escala 1:25;;[S.l.]  [s.n.];;PARQUE HISTÓRICO NACIONAL DOS GUARARAPES;IPHAN-PE(328);;;;;;;;34.05(3)  IPHAN-PE;;;;;;;;;;;;
Projeto de construção de um monumento no parque nacional dos guararapes. projeto: arquiteto geraldo gomes. recife, iphan  1º, 1976;;;;;Original nº 2 PNG. Dimensões 0,98x0,70. Escala 1:25;;[S.l.]  [s.n.];;PARQUE HISTÓRICO NACIONAL DOS GUARARAPES;IPHAN-PE(328);;;;;;;;34.05(3)  IPHAN-PE;;;;;;;;;;;;
Projeto de construção de um monumento no parque nacional dos guararapes. projeto: arquiteto geraldo gomes. recife, iphan  1º, 1976;;;;;Original nº 3 PNG. Dimensões 0,98x0,685. Escala 1:25;;[S.l.]  [s.n.];;PARQUE HISTÓRICO NACIONAL DOS GUARARAPES;IPHAN-PE(328);;;;;;;;34.05(3)  IPHAN-PE;;;;;;;;;;;;
1º, 1976.  Planta e perfil do acesso da br 101 ao parque histórico nacional dos guararapes pelo dner. recife, iphan;;;;;Reprodução. Dimensões 0,935x0,545. Escala 1:2000 - 1:200;;[S.l.]  [s.n.];;PARQUE HISTÓRICO NACIONAL DOS GUARARAPES;IPHAN-PE(328);;;;;;;;34.05(3)  IPHAN-PE;;;;;;;;;;;;
1º, 1976.  Plano geral e paisagístico pela faculdade de arquitetura da ufpe. recife, iphan;;;;;1 jogo com 6 pranchas nºs 1 a 6. Dimensões 1,20x0,85. Escala 1:1000. 363-1 a 363-6;;[S.l.]  [s.n.];;PARQUE HISTÓRICO NACIONAL DOS GUARARAPES;IPHAN-PE(328);;;;;;;;34.05(3)  IPHAN-PE;;;;;;;;;;;;
1º, 1976  Planta de forma para a estrutura de cobertura da sacristia. recife, iphan;;;;;Esboço a lapis. Dimensões 0,45x0,35. Escala 1:40;;[S.l.]  [s.n.];;PARQUE HISTÓRICO NACIONAL DOS GUARARAPES;IPHAN-PE(328);;;;;;;;34.05(3)  IPHAN-PE;;;;;;;;;;;;
Limites do parque e limites da zona de preservação com limitação de gabarito. recife, iphan  1º, 1976.;;;;;Original. Dimensões 0,51x0,565. Escala 1:6000;;[S.l.]  [s.n.];;PARQUE HISTÓRICO NACIONAL DOS GUARARAPES;IPHAN-PE(328);;;;;;;;34.05(3)  IPHAN-PE;;;;;;;;;;;;
Área histórica das batalhas dos guararapes, pelo conselho consultivo do iphan. ampliação do trecho da carta do recife, pelo serviço geografico do exército. recife, iphan  1º, 1976.;;;;;Original Anexo 1. Dimensões 0,52x0,32. Escala 1:25.000;;[S.l.]  [s.n.];;PARQUE HISTÓRICO NACIONAL DOS GUARARAPES;IPHAN-PE(328);;;;;;;;34.05(3)  IPHAN-PE;;;;;;;;;;;;
Planta da feb aos soldados de caxias em comemoração à batalha dos guararapes. recife, iphan  1º, 1976.;;;;;Original. Dimensões 0,55x0,60.;;[S.l.]  [s.n.];;PARQUE HISTÓRICO NACIONAL DOS GUARARAPES;IPHAN-PE(328);;;;;;;;34.05(3)  IPHAN-PE;;;;;;;;;;;;
1º, 1976.  Planta com indicação de taxas de ocupação. recife, iphan;;;;;Esboço a tinta. Dimensões 1,00x0,70.;;[S.l.]  [s.n.];;PARQUE HISTÓRICO NACIONAL DOS GUARARAPES;IPHAN-PE(328);;;;;;;;34.05(3)  IPHAN-PE;;;;;;;;;;;;
Organograma  1º, 1976.  planejamento parque histórico nacional dos guararapes. recife, iphan;;;;;Rep. Dimensões 0,62x0,44.;;[S.l.]  [s.n.];;PARQUE HISTÓRICO NACIONAL DOS GUARARAPES;IPHAN-PE(328);;;;;;;;34.05(3)  IPHAN-PE;;;;;;;;;;;;
Planta cotada do patrimônio de n. s. dos prazeres da ordem de s. bento. recife, iphan  1º, 1976.;;;;;Rep. Dimensões 1,05x0,97. Escala 1:2000.;;[S.l.]  [s.n.];;PARQUE HISTÓRICO NACIONAL DOS GUARARAPES;IPHAN-PE(328);;;;;;;;34.05(3)  IPHAN-PE;;;;;;;;;;;;
"Concurso público nacional de projeto para o monumento principal e a entrada monumental do parque; memorial justificativo do projeto por (?) recife, iphan  1º, 1976.";;;;;Rep. PR 01. Dimensões 1,00x1,00.;;[S.l.]  [s.n.];;PARQUE HISTÓRICO NACIONAL DOS GUARARAPES;IPHAN-PE(328);;;;;;;;34.05(3)  IPHAN-PE;;;;;;;;;;;;
1º, 1977.  Morros dos guararapes: levantamento. recife, iphan;;;;;Rep. PR nº 2. Dimensões 0,52x0,42. Escala 1:20.000.;;[S.l.]  [s.n.];;PARQUE HISTÓRICO NACIONAL DOS GUARARAPES;IPHAN-PE(328);;;;;;;;34.05(3)  IPHAN-PE;;;;;;;;;;;;
1º, 1976.  Concurso público nacional de projeto para o monumento principal e a entrada monumental do parque: planta de situação. recife, iphan;;;;;Rep. PR 02. Dimensões 1,00x1,00. Escala 1:1000.;;[S.l.]  [s.n.];;PARQUE HISTÓRICO NACIONAL DOS GUARARAPES;IPHAN-PE(328);;;;;;;;34.05(3)  IPHAN-PE;;;;;;;;;;;;
Concurso público nacional de projeto para o monumento principal e a entrada monumental do parque: planta de locação do monumento e portões. recife, iphan  1º, 1976.;;;;;Rep. PR 03. Dimensões 1,00x1,00. Escala 1:200.;;[S.l.]  [s.n.];;PARQUE HISTÓRICO NACIONAL DOS GUARARAPES;IPHAN-PE(328);;;;;;;;34.05(3)  IPHAN-PE;;;;;;;;;;;;
1º, 1976.  Concurso público nacional de projeto para o monumento principal e a entrada monumental do parque: planta do monumento. recife, iphan;;;;;Rep. PR 04. Dimensões 1,00x1,00. Escala 1:50.;;[S.l.]  [s.n.];;PARQUE HISTÓRICO NACIONAL DOS GUARARAPES;IPHAN-PE(328);;;;;;;;34.05(3)  IPHAN-PE;;;;;;;;;;;;
1º, 1976.  Concurso público nacional de projeto para o monumento principal e a entrada monumental do parque: planta do monumento. recife, iphan;;;;;Rep. PR 05. Dimensões 1,00x1,00. Escala 1:50;;[S.l.]  [s.n.];;PARQUE HISTÓRICO NACIONAL DOS GUARARAPES;IPHAN-PE(328);;;;;;;;34.05(3)  IPHAN-PE;;;;;;;;;;;;
Concurso público nacional de projeto para o monumento principal e a entrada monumental do parque: cortes do monumento. recife, iphan  1º, 1976.;;;;;Rep. PR 06. Dimensões 1,00x1,00. Escala 1:50;;[S.l.]  [s.n.];;PARQUE HISTÓRICO NACIONAL DOS GUARARAPES;IPHAN-PE(328);;;;;;;;34.05(3)  IPHAN-PE;;;;;;;;;;;;
Concurso público nacional de projeto para o monumento principal e a entrada monumental do parque: elevações do monumento (elevação 2) recife, iphan  1º, 1976.;;;;;Rep. PR 07. Dimensões 1,00x1,00. Escala 1:50;;[S.l.]  [s.n.];;PARQUE HISTÓRICO NACIONAL DOS GUARARAPES;IPHAN-PE(328);;;;;;;;34.05(3)  IPHAN-PE;;;;;;;;;;;;
1º, 1976.  Concurso público nacional de projeto para o monumento principal e a entrada monumental do parque: elevações do monumento (elevação 4 ) recife, iphan;;;;;Rep. PR 08. Dimensões 1,00x1,00. Escala 1:50.;;[S.l.]  [s.n.];;PARQUE HISTÓRICO NACIONAL DOS GUARARAPES;IPHAN-PE(328);;;;;;;;34.05(3)  IPHAN-PE;;;;;;;;;;;;
1º, 1976.  Concurso público nacional de projeto para o monumento principal e a entrada monumental do parque: plantas dos portões. recife, iphan;;;;;Rep. PR 09. Dimensões 1,00x1,00. Escala 1:50.;;[S.l.]  [s.n.];;PARQUE HISTÓRICO NACIONAL DOS GUARARAPES;IPHAN-PE(328);;;;;;;;34.05(3)  IPHAN-PE;;;;;;;;;;;;
1º, 1976.  Concurso público nacional de projeto para o monumento principal e a entrada monumental do parque: cortes e elevações dos portões. recife, iphan;;;;;Rep. PR 10. Dimensões 1,00x1,00. Escala 1:50.;;[S.l.]  [s.n.];;PARQUE HISTÓRICO NACIONAL DOS GUARARAPES;IPHAN-PE(328);;;;;;;;34.05(3)  IPHAN-PE;;;;;;;;;;;;
1º, 1976.  Concurso público nacional de projeto para o monumento principal e a entrada monumental do parque: perspectiva. recife, iphan;;;;;Rep. PR 11. Dimensões 1,00x1,00.;;[S.l.]  [s.n.];;PARQUE HISTÓRICO NACIONAL DOS GUARARAPES;IPHAN-PE(328);;;;;;;;34.05(3)  IPHAN-PE;;;;;;;;;;;;
Concurso público nacional de projeto para o monumento principal e a entrada monumental do parque: perspectiva do portão monumental de entrada e do monumento. recife, iphan  1º, 1976.;;;;;Rep. PR 12. Dimensões 1,00x1,00.;;[S.l.]  [s.n.];;PARQUE HISTÓRICO NACIONAL DOS GUARARAPES;IPHAN-PE(328);;;;;;;;34.05(3)  IPHAN-PE;;;;;;;;;;;;
Planta topografica geral da area do parque histórico nacional dos guararapes. instituto nacional de colonização e reforma agraria. recife, iphan  3ª d.r. 1979.;;;;;Rep. ns. 1 a 6. div. tam. escala 1:1000.;;[S.l.]  [s.n.];;PARQUE HISTÓRICO NACIONAL DOS GUARARAPES;IPHAN-PE(328);;;;;;;;34.05(3)  IPHAN-PE;;;;;;;;;;;;
Identidade cultural  Educação patrimonial  Patrimonio imaterial  Iphan  Patrimonio cultural  Preservação do patrimonio;;"408 p.;il.";;;Biblioteca Básica;363.690981  P314 v.3  IPHAN-PE;Rio de Janeiro : Iphan/Copedoc, 2009.;;PATRIMÔNIO : práticas e reflexões - Artigos (2005 e 2006);IPHAN-PE(328);;;;;;;;;;;;;;;;;;;;
Tombamento  Identidade cultural  Preservação do patrimonio  Educação patrimonial  Patrimonio cultural  Patrimonio imaterial  Inventário;;"428 p.;il.";;;Biblioteca Básica;363.690981  P314  IPHAN-PE;Rio de Janeiro : Iphan/Copedoc, 2007.;;PATRIMÔNIO : práticas e reflexões;IPHAN-PE(328);;;;;;;;;;;;;;;;;;;;
Metolodia da pesquisa  Patrimonio imaterial  Iphan  Metodologia científica  Preservação do patrimonio  Educação patrimonial  Patrimonio cultural  Identidade cultural;;"580 p.;il.";;;Biblioteca Básica;363.690981  P314 v.4  IPHAN-PE;Rio de Janeiro : Iphan/Copedoc, 2010.;;PATRIMÔNIO : práticas e reflexões : Metodologia de Pesquisa e Multidisciplinaridade no Iphan: Anais da II Oficina de Pesquisa;IPHAN-PE(328);;;;;;;;;;;;;;;;;;;;
Preservação do patrimonio  Patrimonio imaterial  Iphan  Pesquia histórica  Identidade cultural  Educação patrimonial  Identidade nacional  Patrimonio cultural;;"216 p.;il.";;;Biblioteca Básica;363.690981  P314 v.5  IPHAN-PE;Rio de Janeiro : Iphan/Copedoc, 2010.;;PATRIMÔNIO : práticas e reflexões : Metodologia de Pesquisa e Multidisciplinaridade no Iphan: Anais da II Oficina de Pesquisa;IPHAN-PE(328);;;;;;;;;;;;;;;;;;;;
Identidade cultural  Patrimonio cultural  Patrimonio imaterial  Preservação do patrimonio  Educação patrimonial  Iphan  Tombamento;;"148 p.;il.";;;Anais da I Oficina de Pesquisa: a pesquisa histórica no IPHAN - (Biblioteca Básica );363.690981  P314 v.2  IPHAN-PE;Rio de Janeiro : Iphan/Copedoc, 2008.;;PATRIMÔNIO : práticas e reflexões 2;IPHAN-PE(328);;;;;;;;;;;;;;;;;;;;
Educação patrimonial  Preservação  São luis  Patrimônio histórico  Maranhão;;56 p.;;;;363.6907  P314 lp  IPHAN-PE;São Luís : Iphan, 2009.;;"PATRIMÔNIO Contado : Acântara, cultura e edeucação ; Livro doprofessor volume 1";IPHAN-PE(328);;;;;;;;;;;;;;;;;;;;
Preservação  Maranhão  Educação patrimonial  São luis  Patrimônio histórico;;2 V.;;;;363.6907  P314  IPHAN-PE;São Luís : Iphan, 2009.;;PATRIMÔNIO Contado : Acântara, cultura e educação;IPHAN-PE(328);;;;;;;;;;;;;;;;;;;;
Rio grande do norte  Iphan  Bens imovéis  Tombamentos;;18  p. : il.;;;;F/400  IPHAN-PE;[Rio Grande do Norte] : Iphan, [2000].;;Patrimônio cultural do Rio Grande do Norte;IPHAN-PE(328);;Iphan. Instituto do Patrimônio Histórico E Artístico Nacional;;;;;;;;;;;;;;;;;;
Educação patrimonial  Patrimônio imaterial  Patrimônio cultural;;32 p.;;;;363.69  P314  IPHAN-PE;Brasília : Iphan, 2007.;;PATRIMÔNIO Cultural Imaterial : para saber mais;IPHAN-PE(328);;;;;;;;;;;;;;;;;;;;
Folclore  Cultura popular  Patrimonio imaterial  Patrimonio cultural  Diversidade cultural  Quilombo  Preservacao;;108 p. : il.[algumas color.], graf., tab.  23cm;;Patrimônio : Práticas e Reflexões;Inclui bibliografia;363.690981  P314 v.7  IPHAN-PE;Rio de Janeiro : IPHAN / COPEDOC, 2016.;(Patrimônio : Práticas e Reflexões  7);Patrimônio e Fronteiras : anais da IV oficina de pesquisa;IPHAN-PE(328);;Iinstituto do Patrimonio Historico e Artitico Nacional (IPHAN) - Brasil;ISBN 9788573342901;;;;;;;;;;;;;;;;;
Catálogo  Literatura infanto  juvenil  Patrimônio cultural  Leitura;;"48 p.;il";;;Biblioteca Básica;R363.69016 P314  IPHAN-PE;Rio de Janeiro : Iphan, 2007.;;PATRIMÔNIO e leitura;IPHAN-PE(328);;;;;;;;;;;;;;;;;;;;
Patrimônio cultural  juvenil  Catálogo  Literatura infanto  Leitura;;"48 p.;il";;;Biblioteca Básica;R363.69016 P314 v.2  IPHAN-PE;Rio de Janeiro : Iphan, 2009.;;PATRIMÔNIO e leitura 2;IPHAN-PE(328);;;;;;;;;;;;;;;;;;;;
Conjunto histórico  Porto do capim (pb)  Preservacao  conjunto paisagístico  Patrimonio cultural  Políticas públicas  Gentrificação  Cultura popular  Folclore  Meio ambiente  Quilombos  Geoglifos  Diversidade cultural  Parque histórico nacional dos guararapes [pe]  São luis do paraitinga (sp)  Olinda (pe)  Patrimonio imaterial  Rio Branco (AC)  Iguape (sp);;180 p. : il.[algumas color.], graf., tab.  23cm;Grieco, Bettina Zellner  Revisor Técnico  LEAL, Claudia Feierabend baeta (Org.);Patrimônio : Práticas e Reflexões;;363.690981  P314 v.8  IPHAN-PE  363.690981  I59p  IPHAN-PR;Rio de Janeiro : IPHAN / COPEDOC, 2016.;(Patrimônio : Práticas e Reflexões  8);Patrimônio e Políticas Públicas : anais da V Oficina de Pesquisa;IPHAN-PE(328);;Iinstituto do Patrimonio Historico e Artitico Nacional (IPHAN) - Brasil;ISBN 9788573343021;;;;;;;;;;;;;;;;;
História  Brasil  Patrimonio cultural;;316  p.;;;A  Biblioteca possui 3 exemplares.;720.8  F676p e 025/2005  IPHAN-PE;Rio de Janeiro : Universidade Federal do Rio de Janeiro/ IPHAN, 1997.;;O patrimonio em processo : trajetória da politica federal de       preservação no Brasil /;IPHAN-PE(328);;Fonseca, Maria Cecilia Londres;;;;;;;;;;;;;;;;;;
Urbanismo  Patrimônio mundial  Brasília (DF)  Preservação  Bens culturais;;"209 p. : il. ; principalmente color., fotos, ret. ; 23 cm";Perpétuo, Thiago Pereira  org.  Ribeiro, Sandra Bernardes  org.;;;363.69098174  I59p  2017  IPHAN-SC  363.69098174  IPHAN-PE  363.69098174  IPHAN-PR  363.69098174  I59p  CDP (Brasília)  IPHAN-SP  IPHAN-RJ  363.69098174  I59  CDP (Rio de Janeiro)  363.69098174  I59  IPHAN-PA;Brasília : IPHAN/DF, 2017.;;Patrimônio em transformação : atualidades e permanências na preservação de bens culturais em Brasília / organização Sandra Bernardes Ribeiro e Thiago Perpétuo;IPHAN-PE(328);Imagem;Instituto do Patrimônio Histórico e Artístico Nacional (Brasil). Superintendência no Distrito Federal;ISBN 9788573343090;;;;;;;;;;;;;;;;;
Rs  Instituto do patrimônio histórico e artístico nacional  Charqueadas  Patrimônio cultural  Doces de pelotas  Desenvolvimento sustentável  Pelotas (RS)  Preservação do patrimônio  Educação patrimonial  Programa monumenta;;"116 p.;il";;;;338.927  P933 V.7  IPHAN-PE;Brasília : IPHAN/Monumenta, 2007.;;PATRIMÔNIO Vivo : Pelotas-RS, 7;IPHAN-PE(328);;;;;;;;;;;;;;;;;;;;
Patrimônio cultural  Pelotas (RS)  Rs  Educação patrimonial  Programa monumenta  Doces de pelotas  Desenvolvimento sustentável  Preservação do patrimônio  Instituto do patrimônio histórico e artístico nacional  Charqueadas;;"116 p.;il";;;;338.927  P933 V.7 ex.2  IPHAN-PE;Brasília : IPHAN/Monumenta, 2007.;;PATRIMÔNIO Vivo : Pelotas-RS, 7;IPHAN-PE(328);;;;;;;;;;;;;;;;;;;;
Foto da igreja de nossa senhora de fatima  Cartaz;;;;;;011  C  IPHAN-PE;Brasilia : Minc/IPHAN - 4ªsr, 19--.;;PATRIMONIOS do Centro - Oeste : conheça, preserve, valorize;IPHAN-PE(328);;;;;;;;;;;;;;;;;;;;
Igreja de nossa senhora do rosario dos pretos  Cartaz  Foto;;;;;;157  C  IPHAN-PE;Tocantins : IPHAN 14ª Superintendência, 19--.;;PATRIMÔNIOS do Centro - Oeste : patrimônios do Brasil : conheça, preserve, valorize;IPHAN-PE(328);;;;;;;;;;;;;;;;;;;;
Foto  Cartaz  Igreja de nossa senhora do pilar  Goiás (Estado);;;;;;023  C  IPHAN-PE;Goias : IPHAN 14ª Superintendência Regional, 19--.;;Patrimônios do Centro-Oeste : Patrimônios do Brasil , conheça, preserve, valorize;IPHAN-PE(328);;;;;;;;;;;;;;;;;;;;
Theatro sebastião pompeu de pina  Cartaz  Foto;;;;;Campanha de valorização do Patrimônio do Centro-Oeste;027  C  IPHAN-PE;Pirenópolis, GO : IPHAN 4ª Sup. Regional;;Patrimônios do Centro-Oeste : Patrimônios do Brasil : conheça, preserve, valorize;IPHAN-PE(328);;;;;;;;;;;;;;;;;;;;
